layer,head,rho,ln_nstar,pred,censored,model
1,15,high,3.2009698338099564,3.230470802566869,False,Qwen3-0.6B-Base
1,15,low,3.215338317855529,3.3673437659592484,False,Qwen3-0.6B-Base
1,15,mid,3.33463298781266,3.0751196004855275,False,Qwen3-0.6B-Base
6,6,high,3.520271526880543,2.684081317667858,False,Qwen3-0.6B-Base
6,6,low,2.9748357697960937,2.6422509585819673,False,Qwen3-0.6B-Base
6,6,mid,1.8609774678969542,2.023377587540724,False,Qwen3-0.6B-Base
6,13,high,0.0,-0.33411598205566406,True,Qwen3-0.6B-Base
6,13,low,0.7188360353171109,0.3458732309505903,False,Qwen3-0.6B-Base
6,13,mid,0.31537060924663096,-0.11475311270678645,False,Qwen3-0.6B-Base
9,12,high,0.0,-1.3667869567871094,True,Qwen3-0.6B-Base
9,12,low,1.4330044713217218,0.013799195913747564,False,Qwen3-0.6B-Base
9,12,mid,0.2516447182000245,-0.1420032150877255,False,Qwen3-0.6B-Base
11,13,high,0.0,-0.31029605865478516,True,Qwen3-0.6B-Base
11,13,low,0.5449432879849974,0.19719794320003636,False,Qwen3-0.6B-Base
11,13,mid,0.450569064908131,-0.3488077255026949,False,Qwen3-0.6B-Base
13,14,high,0.0,-0.20215988159179688,True,Qwen3-0.6B-Base
13,14,low,0.8776489302225668,0.6809840928643451,False,Qwen3-0.6B-Base
13,14,mid,0.5950137605369136,0.06995817851890018,False,Qwen3-0.6B-Base
14,15,high,0.0,-0.8673419952392578,True,Qwen3-0.6B-Base
14,15,low,0.831389816795719,0.0956421618224339,False,Qwen3-0.6B-Base
14,15,mid,0.6381462207824784,0.14037946326567985,False,Qwen3-0.6B-Base
19,5,high,2.53957556473108,2.440278757883224,False,Qwen3-0.6B-Base
19,5,low,2.1590239458275966,2.0431657569910184,False,Qwen3-0.6B-Base
19,5,mid,0.5312367654814659,0.4076963676063233,False,Qwen3-0.6B-Base
1,15,high,3.2488095665459213,3.559431733212183,False,Qwen3-1.7B-Base
1,15,low,3.7160304290093733,3.8618205226879887,False,Qwen3-1.7B-Base
1,15,mid,3.776307855217607,3.8265978695250364,False,Qwen3-1.7B-Base
3,11,high,3.9565233931326715,3.9179915683063555,False,Qwen3-1.7B-Base
3,11,low,4.022168447491627,4.114490120637851,False,Qwen3-1.7B-Base
3,11,mid,4.13470144687457,4.038135141243148,False,Qwen3-1.7B-Base
6,6,high,3.8474753025962585,3.4386215619064044,False,Qwen3-1.7B-Base
6,6,low,3.26471100206336,2.4853332524883305,False,Qwen3-1.7B-Base
6,6,mid,2.7043143715181013,1.8296188393548132,False,Qwen3-1.7B-Base
11,10,high,0.0,-2.6331443786621094,True,Qwen3-1.7B-Base
11,10,low,0.8581689406415819,-2.422007421648579,False,Qwen3-1.7B-Base
11,10,mid,0.3394432684837379,-0.15087723169039147,False,Qwen3-1.7B-Base
11,13,high,0.0,-0.33403968811035156,True,Qwen3-1.7B-Base
11,13,low,1.2862312082420895,1.095015127624047,False,Qwen3-1.7B-Base
11,13,mid,0.8444525431168731,0.7995294634720216,False,Qwen3-1.7B-Base
13,6,high,3.511435156702575,2.8210864074883175,False,Qwen3-1.7B-Base
13,6,low,2.9508078460284,2.8798352598619426,False,Qwen3-1.7B-Base
13,6,mid,0.6491123765595816,0.5698272096955685,False,Qwen3-1.7B-Base
14,15,high,0.0,-0.46874046325683594,True,Qwen3-1.7B-Base
14,15,low,2.24733047257975,2.6505383527084496,False,Qwen3-1.7B-Base
14,15,mid,0.8224568972546978,0.5539235019886011,False,Qwen3-1.7B-Base
19,5,high,4.35836109867206,3.9477122860174685,False,Qwen3-1.7B-Base
19,5,low,2.9872957370037017,2.765816239000208,False,Qwen3-1.7B-Base
19,5,mid,1.5473958476112752,1.0888960868600046,False,Qwen3-1.7B-Base
7,5,high,3.489760698007423,3.2130077521701543,False,Qwen3-4B-Base
7,5,low,3.305393100702993,2.720006009361091,False,Qwen3-4B-Base
7,5,mid,3.1527997347307894,2.148008296911625,False,Qwen3-4B-Base
9,29,high,4.630601448755253,4.222132974328281,False,Qwen3-4B-Base
9,29,low,3.9395860692529556,3.8336990906976274,False,Qwen3-4B-Base
9,29,mid,3.022636059358429,2.725869081486441,False,Qwen3-4B-Base
13,13,high,2.7547235092495312,1.7789264350895082,False,Qwen3-4B-Base
13,13,mid,2.615075181021803,1.8817410202967344,False,Qwen3-4B-Base
13,29,high,2.288267944293543,1.4166835931996213,False,Qwen3-4B-Base
13,29,low,3.154164992041772,2.6259260192123186,False,Qwen3-4B-Base
13,29,mid,1.0415894133338202,-0.3799399750489796,False,Qwen3-4B-Base
14,13,high,0.0,-1.3830718994140625,True,Qwen3-4B-Base
14,13,low,1.015178206895615,0.6127822963292395,False,Qwen3-4B-Base
14,13,mid,0.40833017858826626,0.21796470413519708,False,Qwen3-4B-Base
15,9,high,0.0,-0.23061561584472656,True,Qwen3-4B-Base
15,9,low,3.424407312213786,2.8833735707333297,False,Qwen3-4B-Base
15,9,mid,0.8358904711203566,-0.43302042907398963,False,Qwen3-4B-Base
23,4,high,4.371414757341534,4.297165196648689,False,Qwen3-4B-Base
23,4,low,3.352346670913044,2.9645963085969513,False,Qwen3-4B-Base
23,4,mid,0.9225856362271851,0.9937094689421873,False,Qwen3-4B-Base
23,5,high,3.2176011545203145,3.188811090891258,False,Qwen3-4B-Base
23,5,low,0.6413723745145231,0.6509608165072651,False,Qwen3-4B-Base
23,5,mid,0.5157091490949803,0.4445185523737345,False,Qwen3-4B-Base
