layer,head,rho,ln_nstar,censored,res_gauss,res_k3,res_exact,res_gaussN,G-s2/2,k3/6,GN-s2/2,s2,freeze,sink,filler
7,5,high,3.489760698007423,False,0.27675316299155694,0.3901509281199682,-0.02909800188774314,-0.3292531918821249,-0.30585116487930003,0.1133977651284111,-0.6060063548736816,6.740414286118784,0.9657416180380811,0.254742788862157,0.12991189263376485
7,5,low,3.305393100702993,False,0.585386045401254,0.39593890668529763,-0.5568198062928356,-0.15967259195692085,-1.1422058516940894,-0.18944713871595667,-0.7450586373581748,6.97336405701137,1.0548464047329607,0.19213578008929844,0.15520301194088557
7,5,mid,3.1527997347307894,False,1.0047927163740797,1.001364791619574,0.13080915986817,0.42439479747902675,-0.8739835565059098,-0.0034279247545057,-0.580397918895053,5.792273463269848,0.9185920373347845,0.2910127596329276,0.03908879691979151
9,29,high,4.630601448755253,False,0.4084696161841972,0.3410825366510659,0.11270389328598096,0.16223671833877873,-0.2957657228982161,-0.06738707953313128,-0.24623289784541802,5.60153086715953,0.6048383702580657,0.004872935174105927,0.01883070623077153
9,29,low,3.9395860692529556,False,0.10588695079489785,0.1157952768475905,-0.08854608240377093,-0.06584062161588822,-0.19443303319866878,0.009908326052692928,-0.17172757241078557,3.839667647423452,0.4873186649468924,0.0036390521076209784,0.030022438888307666
9,29,mid,3.022636059358429,False,0.2967666169938603,0.27861184313423326,0.03020028468241165,0.13814407367450254,-0.2665663323114486,-0.01815477385962701,-0.1586225433193578,2.5596023289110734,0.42340564306216255,0.01820093969890431,0.10057169434219021
13,13,high,2.7547235092495312,False,0.9757971518766144,0.41595149099339057,0.2665902105062896,0.48940965562084093,-0.7092069413703249,-0.5598456608832237,-0.4863874962557736,4.4014887228137045,0.7988984571473021,0.0002054275972113349,0.0018641306539674393
13,13,mid,2.615075181021803,False,0.7333340391595449,0.3034648239405717,0.0435564641147268,0.15279258637507942,-0.6897775750448181,-0.4298692152189733,-0.5805414527844652,4.772589546845888,0.9125147876209561,0.0010029945217730216,0.0035561861256327466
13,29,high,2.288267944293543,False,0.8715835947636892,0.7645690596064234,0.4681331642363342,0.5836134279980918,-0.40345043052735496,-0.1070145351572656,-0.28797016676559734,2.643299734118415,0.5775765335327635,2.1558219699666477e-06,0.0010971332215527932
13,29,low,3.154164992041772,False,0.5282393618788324,-0.1073190379585065,-0.4025636054572548,-0.16050183139524066,-0.9308029673360876,-0.635558399837339,-0.6887411932740735,6.233281338242256,0.9881032466547182,2.1441338147553895e-06,0.0057552704170009674
13,29,mid,1.0415894133338202,False,1.421528881955957,1.642577054412778,-0.14043594593203457,-0.3592361905885162,-1.5619648278879916,0.2210481724568212,-1.780765072544473,6.061064803152214,2.9095268853360055,1.6959263613517765e-05,0.01096999048279938
14,13,high,0.0,True,1.3830718994140625,1.3830718994140625,1.3830718994140625,1.3830718994140625,0.0,0.0,0.0,0.0,,0.028401348739862442,0.041944775730371475
14,13,low,1.015178206895615,False,0.40239586975262576,0.37844584898289546,-0.15581712067391362,-0.11166896145666882,-0.5582129904265396,-0.023950020769730473,-0.5140648312092948,2.141852469170949,1.0549145236877526,0.0027178142006198717,0.005703197313541842
14,13,mid,0.40833017858826626,False,0.1903653495080524,0.16079166587546645,0.08906227136781997,0.07912138435361316,-0.10130307814023257,-0.029573683632586025,-0.11124396515443917,0.4802514156720816,0.5880675013202197,0.008415001094866946,0.031275719017761536
15,9,high,0.0,True,0.23061561584472656,0.23061561584472656,0.23061561584472656,0.23061561584472656,0.0,0.0,0.0,0.0,,0.005644368473440409,0.05716629698872566
15,9,low,3.424407312213786,False,0.5410339471122829,0.38464928010513866,0.19961432692448655,0.2584971201662216,-0.3414196201877966,-0.1563846670071443,-0.28253682694606164,4.155305127346843,0.6067188784065163,0.0006880825252617918,0.04220776569484637
15,9,mid,0.8358904711203566,False,1.2689103635491188,0.8568501352915684,0.04874719958953,0.1690126346742581,-1.2201631639595887,-0.41206022825755034,-1.0998977288748606,3.908497938546365,2.337924688450956,0.002870386232744603,0.07559726453633746
23,4,high,4.371414757341534,False,0.07424944233378472,0.08635077061158736,-0.00809618116225419,-0.007058659759134223,-0.08234562349603787,0.012101328277803091,-0.08130810209291812,3.031511290804291,0.3467425832464245,0.4435814906871839,0.29102135928292727
23,4,low,3.352346670913044,False,0.38775108178313467,0.40915189682655173,0.37608279437822123,0.2879551575202912,-0.011668287404913547,0.02140081504341736,-0.09979592426284312,2.2119723553109263,0.32991402328752506,0.18935494922553459,0.2531796981603006
23,4,mid,0.9225856362271851,False,-0.07112408957545346,-0.07358137773199258,-0.13331455936921355,-0.15008572585381863,-0.0621904697937601,-0.0024572881565391343,-0.07896163627836525,0.4426355661244667,0.23988860694524647,0.07745191640451064,0.10121879078642161
23,5,high,3.2176011545203145,False,0.028790445192064862,0.027393492285484822,-0.07610526444742938,-0.07833501954409705,-0.1048957096394943,-0.001396952906580498,-0.1071254647361621,2.1229400598359685,0.3298948436871226,0.2773314008239305,0.2059179488147763
23,5,low,0.6413723745145231,False,-0.009588626037367431,-0.010240909680223176,-0.04109337519765788,-0.03727830802536081,-0.031504749160290446,-0.0006522836428557283,-0.02768968198799331,0.17509671446604338,0.13650160298732864,0.07539008596187899,0.15949631659738214
23,5,mid,0.5157091490949803,False,0.07119089541410634,0.07072099924852471,0.04293828877067429,0.04447909893379215,-0.028252606643432005,-0.00046989616558159073,-0.026711796480314173,0.15841644658245527,0.15359088243873587,0.09766637283543572,0.14935067636653732
