# Control 2 probes -- Qwen3-0.6B-Base  (layers 0..28, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 3.58e-06

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28
     2  0.46  0.67  0.67  0.58  0.55  0.65  0.67  0.66  0.49  0.57  0.49  0.48  0.59  0.56  0.55  0.57  0.60  0.54  0.64  0.57  0.20  0.15  0.00  0.02  0.06  0.00  0.01  0.02  0.07
     4  0.92  0.95  0.97  0.95  0.92  0.95  0.95  0.96  0.98  0.95  0.94  0.95  0.93  0.93  0.93  0.93  0.95  0.94  0.93  0.94  0.69  0.59  0.07  0.25  0.38  0.04  0.06  0.17  0.29
     8  1.00  0.99  0.99  0.99  0.99  0.98  0.99  0.98  1.00  0.99  0.99  0.98  0.98  0.99  0.99  0.99  0.99  0.98  0.98  0.99  0.93  0.87  0.42  0.54  0.71  0.20  0.09  0.24  0.45
    16  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  0.97  0.95  0.58  0.80  0.87  0.58  0.31  0.30  0.61
    32  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  0.99  0.90  0.97  0.97  0.90  0.84  0.79  0.86
    64  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  0.99  1.00  0.98  0.98  0.97  0.96
   128  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  0.99  0.99  0.98
   256  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00

## Logit lens: fraction top-1 = v1 per N x layer
     2  0.51  0.43  0.40  0.47  0.46  0.47  0.44  0.44  0.50  0.49  0.50  0.51  0.43  0.48  0.47  0.48  0.46  0.48  0.47  0.48  0.58  0.64  0.89  0.82  0.79  0.86  0.89  0.89  0.94
     4  0.36  0.23  0.26  0.23  0.21  0.22  0.21  0.23  0.21  0.24  0.26  0.21  0.17  0.21  0.22  0.23  0.21  0.19  0.26  0.28  0.44  0.49  0.73  0.67  0.57  0.74  0.78  0.78  0.81
     8  0.13  0.16  0.12  0.10  0.11  0.08  0.13  0.12  0.10  0.12  0.16  0.11  0.12  0.10  0.10  0.11  0.17  0.17  0.18  0.21  0.30  0.31  0.63  0.57  0.44  0.72  0.77  0.81  0.84
    16  0.03  0.03  0.06  0.06  0.03  0.04  0.07  0.09  0.10  0.06  0.06  0.04  0.08  0.06  0.06  0.06  0.04  0.02  0.10  0.06  0.19  0.22  0.54  0.37  0.37  0.54  0.69  0.70  0.80
    32  0.02  0.01  0.00  0.01  0.00  0.02  0.00  0.01  0.01  0.01  0.03  0.02  0.02  0.01  0.02  0.01  0.02  0.02  0.03  0.01  0.10  0.08  0.32  0.18  0.14  0.36  0.41  0.43  0.61
    64  0.04  0.02  0.02  0.01  0.03  0.03  0.03  0.03  0.02  0.03  0.01  0.01  0.02  0.01  0.02  0.02  0.01  0.02  0.01  0.02  0.06  0.04  0.11  0.04  0.07  0.16  0.20  0.18  0.29
   128  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.00  0.01  0.00  0.00  0.01  0.00  0.00  0.04  0.03  0.02  0.08  0.11  0.11  0.13
   256  0.00  0.02  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.01  0.01  0.02  0.00  0.01  0.02  0.02  0.03

## Bilinear probe, comp_lg: test accuracy P[v1 > comp] per N x layer
     2  0.53  0.57  0.53  0.43  0.53  0.70  0.67  0.67  0.63  0.53  0.63  0.60  0.70  0.63  0.80  0.70  0.60  0.73  0.63  0.60  0.63  0.60  0.87  0.77  0.73  0.83  0.87  0.87  0.77
     4  0.57  0.53  0.63  0.60  0.50  0.60  0.53  0.57  0.47  0.67  0.60  0.50  0.43  0.50  0.40  0.50  0.53  0.63  0.57  0.50  0.53  0.53  0.77  0.70  0.67  0.73  0.73  0.67  0.60
     8  0.57  0.53  0.50  0.50  0.47  0.43  0.53  0.53  0.50  0.57  0.47  0.47  0.43  0.47  0.53  0.50  0.57  0.43  0.37  0.47  0.63  0.67  0.80  0.80  0.77  0.80  0.83  0.77  0.63
