# Control 2 probes -- Qwen3-4B-Base  (layers 0..36, stride 1; train seeds <20)
logit-lens final layer vs saved A_logit: max |diff| = 2.82e-02

## Logit lens: median A^(l) per N (rows) x layer (cols)
   N       0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36
     2  0.62  0.67  0.56  0.53  0.62  0.68  0.57  0.59  0.60  0.50  0.42  0.48  0.54  0.53  0.45  0.46  0.42  0.47  0.40  0.50  0.55  0.49  0.61  0.40  0.52  0.16  0.24  0.20  0.22  0.36  0.13  0.24  0.20  0.03  0.01  0.03  0.18
     4  0.94  0.89  0.91  0.90  0.94  0.93  0.90  0.91  0.93  0.91  0.89  0.87  0.90  0.87  0.90  0.93  0.93  0.95  0.87  0.89  0.93  0.93  0.92  0.92  0.88  0.51  0.48  0.59  0.67  0.74  0.44  0.42  0.49  0.16  0.11  0.10  0.45
     8  1.00  0.98  0.98  0.98  0.98  0.96  0.96  0.95  0.96  0.96  0.97  0.98  0.97  0.96  0.98  0.98  0.99  0.98  0.97  0.96  0.97  0.96  0.97  0.97  0.97  0.71  0.84  0.82  0.83  0.85  0.50  0.53  0.62  0.11  0.01  0.04  0.28
    16  1.00  0.99  0.99  0.99  0.98  0.99  0.99  0.98  0.99  0.99  0.99  0.98  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.98  0.99  0.99  0.99  0.99  0.99  0.71  0.84  0.84  0.90  0.91  0.72  0.60  0.38  0.04  0.00  0.02  0.15
    32  1.00  1.00  1.00  1.00  1.00  0.99  1.00  0.99  0.99  0.99  0.99  0.99  1.00  0.99  1.00  1.00  1.00  1.00  1.00  0.99  1.00  0.99  1.00  1.00  1.00  0.93  0.95  0.96  0.97  0.98  0.95  0.89  0.84  0.35  0.06  0.09  0.40
    64  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.98  0.99  0.99  0.99  0.99  0.98  0.96  0.94  0.64  0.53  0.41  0.65
   128  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  0.99  0.99  0.97  0.96  0.93  0.93
   256  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00  1.00

## Logit lens: fraction top-1 = v1 per N x layer
